rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,SGD,In Stock Now,,274490,Samsung GALAXY A7 Dual-SIM SM-A700YD ,,SG$539,,,,Samsung,,http://i1.expansys.com/img/b/274490/samsung-galaxy-a7-dual-sim-sm-a700yd.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282718,Lenovo PHAB Plus Dual SIM PB1-770M ,,SG$389,,,,Lenovo,,http://i2.expansys.com/img/b/282718/lenovo-phab-plus-dual-sim.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282716,Lenovo PHAB Plus Dual SIM PB1-770M ,,SG$389,,,,Lenovo,,http://i2.expansys.com/img/b/282716/lenovo-phab-plus-dual-sim.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282221,Motorola Moto X Play XT1562 ,,SG$479,,,,Motorola,,http://i1.expansys.com/img/b/282221/motorola-moto-x-play-xt1562.jpg,,,,,,,,,
,,,SGD,In Stock Now,,270571,AT Screen Guard for Samsung Galaxy A5 ,,SG$13,,,,AT,,http://i1.expansys.com/img/b/270571/at-screen-guard-for-samsung-galaxy-a5.jpg,,,,,,,,,
,,,SGD,In Stock Now,,274475,AT Screen Guard for Samsung Galaxy A7 ,,SG$13,,,,AT,,http://i2.expansys.com/img/b/274475/at-screen-guard-for-samsung-galaxy-a7.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,279578,Martin Fields Screen Protector for HTC One E9+ ,,SG$28,,,,Martin Fields,,http://i2.expansys.com/img/b/279578/martin-fields-screen-protector-for-htc-one-e9.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282575,AT Screen Guard for Samsung Galaxy J5 ,,SG$13,,,,AT,,http://i2.expansys.com/img/b/282575/at-screen-guard-for-samsung-galaxy-j5.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282840,AT Screen Guard for Sony Xperia M5 ,,SG$13,,,,AT,,http://i1.expansys.com/img/b/282840/at-screen-guard-for-sony-xperia-m5.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280762,Samsung Galaxy Tab S2 8.0 SM-T710 ,,SG$479,,,,Samsung,,http://i1.expansys.com/img/b/280762/samsung-galaxy-tab-s2-80-sm-t710.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280805,Samsung Galaxy Tab S2 8.0 SM-T710 ,,SG$479,,,,Samsung,,http://i2.expansys.com/img/b/280805/samsung-galaxy-tab-s2-80-sm-t710.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280804,Samsung Galaxy Tab S2 8.0 SM-T710 ,,SG$479,,,,Samsung,,http://i1.expansys.com/img/b/280804/samsung-galaxy-tab-s2-80-sm-t710.jpg,,,,,,,,,
,,,SGD,In Stock Now,,266838,Parrot Zik 2.0 Wireless Headphones ,,SG$360,,,,Parrot,,http://i2.expansys.com/img/b/266838/parrot-zik-20-wireless-headphones.jpg,,,,,,,,,
,,,SGD,In Stock Now,,280808,Samsung Galaxy Tab S2 8.0 SM-T715C ,,SG$584,,,,Samsung,,http://i2.expansys.com/img/b/280808/samsung-galaxy-tab-s2-80-sm-t715.jpg,,,,,,,,,
